date,value
2023-11-24,40291
2023-11-25,40191
2023-11-26,40091
2023-11-27,39991
2023-11-28,39891
2023-11-29,39791
2023-11-30,39691
2023-12-01,39591
2023-12-02,39491
2023-12-03,39391
2023-12-04,39291
2023-12-05,39191
2023-12-06,39091
2023-12-07,38991
2023-12-08,38891
2023-12-09,38791
2023-12-10,38691
2023-12-11,38591
2023-12-12,38491
2023-12-13,38391
2023-12-14,38291
2023-12-15,38191
2023-12-16,38091
2023-12-17,37991
2023-12-18,37891
2023-12-19,37791
2023-12-20,37691
2023-12-21,37591
2023-12-22,37491
2023-12-23,37391
2023-12-24,37291
2023-12-25,37191
2023-12-26,37091
2023-12-27,36991
2023-12-28,36891
2023-12-29,36791
2023-12-30,36691
2023-12-31,36591
2024-01-01,36491
2024-01-02,36391
2024-01-03,36291
2024-01-04,36191
2024-01-05,36091
2024-01-06,35991
2024-01-07,35891
2024-01-08,35791
2024-01-09,35691
2024-01-10,35591
2024-01-11,35491
2024-01-12,35391
2024-01-13,35291
2024-01-14,35191
2024-01-15,35091
2024-01-16,34991
2024-01-17,34891
2024-01-18,34791
2024-01-19,34691
2024-01-20,34591
2024-01-21,34491
2024-01-22,34391
2024-01-23,34291
2024-01-24,34191
2024-01-25,34091
2024-01-26,33991
2024-01-27,33891
2024-01-28,33791
2024-01-29,33691
2024-01-30,33591
2024-01-31,33491
2024-02-01,33391
2024-02-02,33291
2024-02-03,33191
2024-02-04,33091
2024-02-05,32991
2024-02-06,32891
2024-02-07,32791
2024-02-08,32691
2024-02-09,32591
2024-02-10,32491
2024-02-11,32391
2024-02-12,32291
2024-02-13,32191
2024-02-14,32091
2024-02-15,31991
2024-02-16,31891
2024-02-17,31791
2024-02-18,31691
2024-02-19,31591
2024-02-20,31491
2024-02-21,31391
2024-02-22,31291
2024-02-23,31191
2024-02-24,31091
2024-02-25,30991
2024-02-26,30891
2024-02-27,30791
2024-02-28,30691
2024-02-29,30591
2024-03-01,30491
2024-03-02,30391
2024-03-03,30291
2024-03-04,30191
2024-03-05,30091
2024-03-06,29991
2024-03-07,29891
2024-03-08,29791
2024-03-09,29691
2024-03-10,29591
2024-03-11,29491
2024-03-12,29391
2024-03-13,29291
2024-03-14,29191
2024-03-15,29091
2024-03-16,28991
2024-03-17,28891
2024-03-18,28791
2024-03-19,28691
2024-03-20,28591
2024-03-21,28491
2024-03-22,28391
2024-03-23,28291
2024-03-24,28191
2024-03-25,28091
2024-03-26,27991
2024-03-27,27891
2024-03-28,27791
2024-03-29,27691
2024-03-30,27591
2024-03-31,27491
2024-04-01,27391
2024-04-02,27291
2024-04-03,27191
2024-04-04,27091
2024-04-05,26991
2024-04-06,26891
2024-04-07,26791
2024-04-08,26691
2024-04-09,26591
2024-04-10,26491
2024-04-11,26391
2024-04-12,26291
2024-04-13,26191
2024-04-14,26091
2024-04-15,25991
2024-04-16,25891
2024-04-17,25791
2024-04-18,25691
